ObjectID,UpdatedDate,YearAppointed,YearLeftOffice,Name,FullDescription,Source,Wikipedia
2527,8/21/2015 15:24,1867,1868,Henry Prickett,"Henry Prickett was born in England in 1829. He practiced law in Wisconsin and in 1865 moved to Idaho City. He then moved to Boise and practiced law, as well as participated in local politics. His house was located on the corner of Main and 3rd Streets. He was elected mayor of Boise in 1867 and served one year. Prickett has mistakenly been considered the first mayor of Boise. He died on June 16, 1885, and is buried in the Pioneer Cemetery.","Source: Boise State University, Albertsons Library, Special Collections.",https://en.wikipedia.org/wiki/Henry_E._Prickett
2528,8/21/2015 15:24,1868,1869,Thomas Hart,"Thomas Hart discovered quartz at Quartzburg in 1864, and later moved to Boise in 1865. He built the Central Hotel, also known as the Hart's Exchange, on the corner of 7th and Idaho, which is where City Hall is currently. He served on the Territorial Legislature,and became mayor of Boise from 1868-1869.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/Thomas_B._Hart
2529,8/21/2015 15:24,1869,1870,Charles Himrod,"Charles Himrod was born on November 4, 1842 in Burdett, NewYork. Himrod came to Boise in 1864 while on an expedition headed by Captain Leroy Crawford. Himrod started out as a bookkeeper and clerk, and eventually partnered with another local Boisean to open his own mercantile store. Himrod served as mayor from 1869 to 1870 ,and then John Hailey was elected mayor. Hailey did not take office, so Himrod served in his place from 1871-1872. Himrod served as mayor again from 1878 to 1879. Himrod held many political offices, including being a treasurer of Ada County, a treasurer for the Territory, Register of the United States Land Office, and an Ada County Commissioner. He was also a director of the Boise Independent School District. His house was on 1021 Jefferson St. He died on January 26, 1920.",Source: The Founding Fathers of Idaho and The Idaho Statesman.,https://en.wikipedia.org/wiki/Charles_Himrod
2530,8/21/2015 15:24,1871,1871,John Hailey,"John Hailey won the 1871 elections for mayor of Boise. Hailey ran several businesses on Main Street, owned cattle and sheep ranches, and was also known as a stagecoach king. He never took office, and Charles Himrod served in his place.",Source: The Idaho Statesman.,https://en.wikipedia.org/wiki/John_Hailey
2531,8/21/2015 15:24,1871,1872,Charles Himrod,"Charles Himrod was born on November 4, 1842 in Burdett, NewYork. Himrod came to Boise in 1864 while on an expedition headed by Captain Leroy Crawford. Himrod started out as a bookkeeper and clerk, and eventually partnered with another local Boisean to open his own mercantile store. Himrod served as mayor from 1869 to 1870 ,and then John Hailey was elected mayor. Hailey did not take office, so Himrod served in his place from 1871-1872. Himrod served as mayor again from 1878 to 1879. Himrod held many political offices, including being a treasurer of Ada County, a treasurer for the Territory, Register of the United States Land Office, and an Ada County Commissioner. He was also a director of the Boise Independent School District. His house was on 1021 Jefferson St. He died on January 26, 1920.",Source: The Founding Fathers of Idaho and The Idaho Statesman.,https://en.wikipedia.org/wiki/Charles_Himrod
2532,8/21/2015 15:24,1872,1873,George H. Twitchell,There is little known about George Twitchell. He might have been a contractor or builder since he was one of the first people who bid on construction of the first cell house at the penitentiary. He served a term as mayor from 1872-1873.,Source: The Idaho Daily Statesman.,https://en.wikipedia.org/wiki/George_H._Twitchell
2533,8/21/2015 15:24,1873,1875,Thomas E. Logan,"Thomas Logan was born in New York in 1834, and came to Boise in 1864. He opened the ""Boise City Drug Store"" on Main Street, between Sixth and Seventh streets in 1864. He also became a large property owner, and director of the First National Bank of Idaho. Logan served as one of the first Postmasters of Boise in 1869-1870. He was elected mayor of Boise in 1873 and served until 1875.",Source: The Founding Fathers of Idaho.,https://en.wikipedia.org/wiki/Thomas_E._Logan
2534,8/21/2015 15:24,1875,1876,John Lemp,"John Lemp was born in Neiderweisel, Hesse-Darmstadt, Germany on April 21, 1838. Lemp came to the United States in 1852, and in the 1870s he built a brewery in Boise. He also became a significant landowner in the area. He served as a city council member for twenty years, and was elected mayor of Boise for one year.",Source: History of Idaho: Gem of the Mountains. ,https://en.wikipedia.org/wiki/John_Lemp
2535,8/21/2015 15:24,1878,1879,Charles Himrod,"Charles Himrod was born on November 4, 1842 in Burdett, NewYork. Himrod came to Boise in 1864 while on an expedition headed by Captain Leroy Crawford. Himrod started out as a bookkeeper and clerk, and eventually partnered with another local Boisean to open his own mercantile store. Himrod served as mayor from 1869 to 1870 ,and then John Hailey was elected mayor. Hailey did not take office, so Himrod served in his place from 1871-1872. Himrod served as mayor again from 1878 to 1879. Himrod held many political offices, including being a treasurer of Ada County, a treasurer for the Territory, Register of the United States Land Office, and an Ada County Commissioner. He was also a director of the Boise Independent School District. His house was on 1021 Jefferson St. He died on January 26, 1920.",Source: The Founding Fathers of Idaho and The Idaho Statesman.,https://en.wikipedia.org/wiki/Charles_Himrod
2536,8/21/2015 15:24,1879,1880,Cyrus Y. Jacobs,"Cyrus Jacobs was born in Lancaster, Pennsylvania on December 22, 1831. His family moved to Portland, Oregon, where he worked as a clerk. Jacobs started a pack train for supplies from Walla Walla to Idaho City. Jacobs owned a flour mill and a copper shop, and the first packing house and distillery in Boise. Jacobs also contributed to building the streetcar in Boise. He served on the City Council, and then was elected Mayor in 1879 and served until 1880. After his term as mayor, he served on the City Council again. In 1893, Jacobs suffered a stroke. He died in 1900, and is buried in the Pioneer Cemetery.",Source: The Idaho Statesman and The Founding Fathers ofIdaho.,https://en.wikipedia.org/wiki/Cyrus_Y._Jacobs
2539,8/21/2015 15:24,1866,1867,Dr. Ephraim Smith,"Dr. Ephraim Smith became the first mayor of Boise in 1866 and served until 1867.  For years he has not been recognized as the first mayor of Boise, despite the fact that a story ran in the Idaho Statesman on June 14th, 1936, with a picture of the man and the original Certificate of Election. It is believed that Smith also served as the first Territorial Treasurer. Smith operated a drug store as well as opened up a private hospital in Boise.",Source: The Idaho Statesman.,
2550,8/21/2015 15:24,1880,1881,Charles Bilderback,"Charles Bilderback was born in Kentucky on January 20th, 1846. He came to Idaho on a wagon train when he was 18. Bilderback was elected to the Boise City Council in 1879, and again in 1885. He served as mayor of Boise from 1880-1881. He eventually became mayor of Emmett for two terms as well. He was the Postmaster of Boise City when Idaho was a territory. Bilderback died on August 10, 1917 and was buried in the Pioneer Cemetery in Boise.",Source: Founding Fathers of Idaho.,https://en.wikipedia.org/wiki/Charles_P._Bilderback
2551,8/21/2015 15:24,1881,1885,James Pinney,"James Pinney was born in Franklin County, Ohio on September 29, 1835. By 1850, Pinney moved to California for the Gold Rush, and came to Idaho in 1862, ending up in the Boise Basin. He became a merchant in Idaho City, and in 1873 moved to Boise permanently to operate his bookstore on Main Street. Pinney built the Columbia Theater in 1892, and after it was razed, built the Pinney Theater, which opened in 1908. He served three times as mayor of Bois e(1881-1885, 1889-1893, 1905-1907). During his various times in office, the Morris Hill Cemetery was purchased, the toll bridge on 9th Street was bought and the tolls stopped, the City Hall on the corner of 8th and Idaho was built, and one of the first sewer systems in the city was put in.",Source: The Founding Fathers of Idaho and The Idaho Statesman.,https://en.wikipedia.org/wiki/James_A._Pinney
2552,8/21/2015 15:24,1885,1885,Sol Hasbrouck,"Solomon Hasbrouck was born on May 28, 1833 in New York. Hasbrouck spent time in California and Idaho as a miner, and was elected County Commissioner in Owyhee County. In about 1868 he came to Boise and stayed, serving in various government offices, including being the Superintendent of Indian Affairs. He served on the Boise City Council when Thomas Logan was Mayor, and was elected Mayor in 1885. Hasbrouck died September 7, 1906 and is buried in the Pioneer Cemetery. He lived at 213 S. 9th Street.",Source: Founding Fathers of Idaho.,https://en.wikipedia.org/wiki/Sol_Hasbrouck
2553,8/21/2015 15:24,1885,1887,James Huston,No Sources. Research welcome.,Photo courtesy of the Idaho State Historical Society,https://en.wikipedia.org/wiki/James_W._Huston
2554,8/21/2015 15:24,1887,1889,Peter Pefley,"Peter Pefley was born near Roanoke, Virginia in 1830, and in 1851 he traveled to Oregon. Pefley came to Boise in 1864, and bought the ""City Hotel"" located on Main and Sixth Streets. He also opened a saddle and harness shop, the Idaho Saddlery Company, at 833 Main Street in Boise in the early 1870s. Pefley served as a City Council member, and served as mayor from 1887 to 1889. Pefley also served on the school board, and contributed to the consolidation of the smaller school districts into the Boise Independent School District. He died in 1906 and was buried in the Pioneer Cemetery.",Source: Founding Fathers of Idaho.,https://en.wikipedia.org/wiki/Peter_J._Pefley
2555,8/21/2015 15:24,1889,1893,James Pinney,"James Pinney was born in Franklin County, Ohio on September 29, 1835. By 1850, Pinney moved to California for the Gold Rush, and came to Idaho in 1862, ending up in the Boise Basin. He became a merchant in Idaho City, and in 1873 moved to Boise permanently to operate his bookstore on Main Street. Pinney built the Columbia Theater in 1892, and after it was razed, built the Pinney Theater, which opened in 1908. He served three times as mayor of Boise (1881-1885, 1889-1893, 1905-1907). During his various times in office, the Morris Hill Cemetery was purchased, the toll bridge on 9th Street was bought and the tolls stopped, the City Hall on the corner of 8th and Idaho was built, and one of the first sewer systems in the city was put in.",Source: The Founding Fathers of Idaho and The Idaho Statesman.,https://en.wikipedia.org/wiki/James_A._Pinney
2556,8/21/2015 15:24,1893,1895,Peter Sonna,"Peter Sonna was born in New York City in 1835, and came west as a teenager to mine for gold. He came to Boise in 1863 and opened up a hardware business that sold mining supplies. The Sonna building on 9th and Idaho Streets was one of Peter Sonna's first buildings, and through the years he built more on that block, leading to the name ""the Sonna block."" He built his house at 216 9th Street and lived there until his death. Sonna was elected mayor in 1893 and served until 1895. One of the projects that he undertook as mayor was to purchase the police uniforms with his personal money.",Source: The Founding Fathers of Idaho and the Idaho Statesman. Photo courtesy of the Idaho State Historical Society,https://en.wikipedia.org/wiki/Peter_Sonna
2557,8/21/2015 15:24,1895,1897,Walter E. Pierce,"Walter E. Pierce was born near Waco, Texas in 1860, and moved to Boise with his business partners, L.H. Cox and John M. Haines. The firm that they started was primarily interested in real estate, and developed many residential parcels, including  Hyde Park, Locust Grove, and Warm Springs Ave. Pierce was also responsible for starting the Interurban streetcar line to Caldwell, and setting up the first bus company after the streetcars stopped running. The W.E. Pierce Company office was located in the Gem Noble building on the corner of 10th and Main. Pierce served as mayor from 1895 to1897.",Source: Idaho State Historical Society Reference Series by Arthur Hart and Idaho Daily Statesman.,https://en.wikipedia.org/wiki/W._E._Pierce
